[2018-10-25T11:31:56.161] [ERROR] http - 127.0.0.1 - - "GET /api/hotels HTTP/1.1" 404 149 "" "PostmanRuntime/7.3.0"
[2018-10-25T11:32:25.214] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "PostmanRuntime/7.3.0"
[2018-10-25T11:33:40.653] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:45:05.312] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:45:07.615] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:45:29.685] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:45:32.611] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:45:52.574] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:45:56.373] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:46:25.036] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:46:28.030] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:47:02.783] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:47:05.378] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:47:42.660] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:47:44.591] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:48:18.454] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:48:20.423] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:49:25.902] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:49:28.321] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:49:54.862] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:49:57.394] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T11:56:17.275] [INFO] http - 127.0.0.1 - - "POST /api/api/hotel/new HTTP/1.1" 200 60 "" "node-superagent/3.8.3"
[2018-10-25T11:56:36.789] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:01:05.464] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:01:50.601] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:01:59.384] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:02:13.037] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:02:56.246] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:03:50.521] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:04:30.058] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:05:41.138] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:09:39.582] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:09:57.941] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:10:09.888] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T12:10:20.265] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T14:22:18.331] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T14:23:22.294] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
[2018-10-25T14:24:03.205] [INFO] http - 127.0.0.1 - - "GET /api/api/hotels HTTP/1.1" 200 3447 "" "node-superagent/3.8.3"
